"A","Z","N","energy","half-life (s)","mass"
136,56,80,8.724908,NA,135.904574576369
135,56,79,8.722072,NA,134.905687250991
137,56,81,8.711628,NA,136.905826082041
138,56,82,8.710904,NA,137.905245941118
27,13,14,8.708242,NA,26.9815383223015
140,58,82,8.700494,NA,139.905437277063
139,57,82,8.698892,NA,138.906351779737
26,12,14,8.694981,NA,25.982592231119
141,59,82,8.681405,NA,140.907651325597
142,60,82,8.676646,NA,141.907721847945
24,12,12,8.651911,NA,23.9850409913314
25,12,13,8.599047,NA,24.9858364951892
156,64,92,8.536342,NA,155.922121116918
157,64,93,8.522478,NA,156.923958620932
158,64,94,8.518775,NA,157.92410238368
159,65,94,8.50868,NA,158.925345170026
23,11,12,8.485675,NA,22.9897689019393
163,66,97,8.478607,NA,162.928729465858
164,66,98,8.473604,NA,163.929173057665
22,10,12,8.436087,NA,21.9913849001986
20,10,10,8.423422,NA,19.9924400198107
16,8,8,8.36739,NA,15.9949144610189
21,10,11,8.34428,NA,20.9938462317755
19,9,10,8.149612,NA,18.9984030139227
17,8,9,8.118904,NA,16.9991315463893
18,8,10,8.114744,NA,17.9991608478652
12,6,6,8.071327,NA,11.9999998860149
15,7,8,8.064594,NA,15.0001082801053
14,7,7,7.866827,NA,14.0030734237824
13,6,7,7.830943,NA,13.0033546932476
4,2,2,7.465077,NA,4.00260330645311
11,5,6,7.283337,NA,11.0093052577028
10,5,5,6.866257,NA,10.0129368629263
9,4,5,6.810483,NA,9.01218205927252
7,3,4,5.941599,NA,7.01600443204635
6,3,3,5.723527,NA,6.01512274406804
3,2,1,3.094327,NA,3.01602905849549
2,1,1,1.503327,NA,2.01410205633058
1,1,0,0.782327,NA,1.00782505346306
74,34,40,9.047175,NA,73.9224757230701
80,34,46,9.043326,NA,79.9165205365865
86,36,50,9.039532,NA,85.9106098570944
84,38,46,9.031375,NA,83.9134242771635
102,46,56,8.933337,NA,101.905607644459
104,44,60,8.918337,NA,103.905431542758
36,18,18,8.911105,NA,35.9675442641551
112,50,62,8.862944,NA,111.904817330835
122,50,72,8.80859,NA,121.903437751
126,54,72,8.77901,NA,125.904272960375
143,60,83,8.658792,NA,142.90981289087
144,62,82,8.640577,NA,143.911998075024
146,60,86,8.625649,NA,145.913115602554
150,62,88,8.585043,NA,149.917274057876
152,62,90,8.563227,NA,151.919730951911
153,63,90,8.550893,NA,152.921228753291
154,64,90,8.549985,NA,153.920864024361
155,64,91,8.536341,NA,154.922620506927
158,66,92,8.516973,NA,157.924408038863
160,66,94,8.506816,NA,159.925195816587
161,66,95,8.494067,NA,160.926931835256
162,66,96,8.492234,NA,161.92679678035
164,68,96,8.473462,NA,163.92919805836
165,67,98,8.464689,NA,164.930320342601
166,68,98,8.462482,NA,165.930291347411
167,68,99,8.45035,NA,166.932046463357
