"A","Z","N","energy","half-life (s)","mass"
160,68,92,8.48419,NA,159.929082218004
151,61,90,8.557387,NA,150.921205731885
135,56,79,NA,NA,NA
121,50,71,NA,NA,NA
166,67,99,NA,NA,NA
76,33,43,9.022505,NA,75.9223932816506
200,81,119,8.206567,NA,199.970960879369
72,33,39,9.018966,NA,71.9267513933998
231,90,141,7.924932,NA,231.036302109714
252,100,152,7.766498,NA,252.082463944855
252,96,156,7.757439,NA,252.084914704333
156,65,91,NA,NA,NA
189,75,114,8.272269,NA,188.959227106022
197,80,117,NA,NA,NA
187,74,113,8.284722,NA,186.957158591258
248,97,151,NA,NA,NA
173,72,101,8.391617,NA,172.940513095503
96,41,55,8.963036,NA,95.9080993500775
154,65,89,8.526912,NA,153.924678586354
236,93,143,NA,NA,NA
43,19,24,8.922327,NA,42.9607153922173
182,76,106,8.316432,NA,181.952108424276
228,91,137,7.944468,NA,228.031048865015
48,24,24,8.96339,NA,47.9540314333774
154,65,89,NA,NA,NA
200,82,118,8.202542,NA,199.971825082372
112,46,66,8.842185,NA,111.907313329461
28,12,16,8.607706,NA,27.9838765916972
100,45,55,8.927167,NA,99.9081208516713
133,53,80,8.717094,NA,132.90779524254
122,54,68,8.770959,NA,121.90836637265
255,100,155,7.742704,NA,255.089959355119
95,43,52,NA,NA,NA
181,75,106,8.328294,NA,180.950066641996
197,78,119,8.225756,NA,196.967338219336
135,57,78,8.713179,NA,134.906976099731
194,77,117,NA,NA,NA
142,59,83,8.661417,NA,141.910043406391
200,79,121,8.202877,NA,199.971753154917
159,64,95,8.502576,NA,158.926387083225
135,58,77,8.698179,NA,134.909150026538
193,79,114,8.244353,NA,192.964148215663
151,65,86,8.545692,NA,150.923101551725
55,27,28,9.053647,NA,54.9419984662258
152,65,87,8.536591,NA,151.924077379859
188,75,113,8.27886,NA,187.958112598535
125,54,71,8.768864,NA,124.906394221093
97,40,57,8.926451,NA,96.9109517859062
186,77,109,8.281935,NA,185.957944195639
86,40,46,8.975979,NA,85.9164773746512
76,35,41,8.996183,NA,75.924540876568
119,52,67,NA,NA,NA
242,95,147,NA,NA,NA
170,72,98,8.40221,NA,169.939611411366
157,63,94,8.513792,NA,156.925422615172
24,11,13,8.422082,NA,23.9909625489512
76,36,40,8.979406,NA,75.9259097011228
86,39,47,8.993234,NA,85.9148843103515
211,86,125,8.112825,NA,210.990597959866
90,41,49,8.989727,NA,89.9112642837905
185,77,108,8.289382,NA,184.956691285772
240,92,148,7.851682,NA,240.056589382944
72,31,41,9.023958,NA,71.9263655358844
69,30,39,9.056536,NA,68.9270204380921
109,46,63,8.875061,NA,108.905948980022
87,39,48,NA,NA,NA
123,53,70,8.786311,NA,122.905588108309
191,76,115,NA,NA,NA
183,76,107,8.309907,NA,182.953127175924
150,63,87,NA,NA,NA
64,29,35,9.093581,NA,63.9297635679021
182,75,107,NA,NA,NA
200,78,122,8.204342,NA,199.971438606495
130,53,77,8.740035,NA,129.906673386317
42,19,23,8.905175,NA,41.9624023517417
171,72,99,8.39548,NA,170.940491651133
239,95,144,7.864666,NA,239.053022197555
193,80,113,8.231483,NA,192.966814802595
203,83,120,8.177436,NA,202.976873795448
77,32,45,8.996185,NA,76.9235478280392
204,83,121,8.172651,NA,203.977807802599
189,78,111,8.264359,NA,188.96083204372
212,82,130,8.106928,NA,211.991895506623
195,80,115,NA,NA,NA
175,73,102,8.370813,NA,174.943733837638
245,94,151,7.813752,NA,245.067744612733
187,77,110,8.283713,NA,186.95736115078
165,68,97,8.462406,NA,164.930724741297
93,39,54,8.976951,NA,92.9095819773325
244,95,149,7.825914,NA,244.064282331927
266,103,163,NA,NA,NA
154,65,89,NA,NA,NA
183,76,107,NA,NA,NA
155,66,89,8.517521,NA,154.925752142428
91,38,53,8.990503,NA,90.9102025219978
196,79,117,NA,NA,NA
66,31,35,9.036843,NA,65.9315887885873
156,62,94,8.516007,NA,155.925526677933
127,52,75,NA,NA,NA
201,82,119,8.196989,NA,200.972882447254
152,63,89,NA,NA,NA
62,30,32,9.057957,NA,61.9343295803814
135,54,81,8.711453,NA,134.907226246242
58,27,31,NA,NA,NA
128,51,77,8.732343,NA,127.909166166132
137,58,79,NA,NA,NA
234,94,140,7.898892,NA,234.043315056375
184,73,111,8.304154,NA,183.95400744253
250,99,151,7.778407,NA,250.078613259924
101,46,55,8.917149,NA,100.908288291435
52,26,26,9.000789,NA,51.9481129467462
173,69,104,8.396524,NA,172.939601752106
180,73,107,NA,NA,NA
157,66,91,8.513544,NA,156.925464414685
210,85,125,8.128337,NA,209.987145427914
176,73,103,8.363202,NA,175.944850367683
166,69,97,8.444183,NA,165.933552381477
256,99,157,7.730742,NA,256.093599620949
171,68,103,8.408901,NA,170.93802787708
199,81,118,8.212333,NA,198.969874253969
211,85,126,8.126527,NA,210.987494212894
73,34,39,9.005821,NA,72.9267642084589
93,42,51,NA,NA,NA
234,91,143,7.89893,NA,234.043305510421
135,53,82,8.691994,NA,134.910046409025
107,48,59,8.884271,NA,106.906616741304
82,37,45,8.999608,NA,81.9182820724886
153,66,87,8.523288,NA,152.925762936588
127,55,72,8.750383,NA,126.907416230037
228,89,139,7.944591,NA,228.031018758544
99,43,56,NA,NA,NA
145,59,86,8.620514,NA,144.914510035267
189,76,113,NA,NA,NA
207,84,123,8.154158,NA,206.981591028329
90,42,48,8.962072,NA,89.913936281384
257,101,156,7.72504,NA,257.095538431026
111,46,65,8.844589,NA,110.907854420217
139,60,79,8.659529,NA,138.912225630131
180,72,108,NA,NA,NA
209,85,124,8.132954,NA,208.98617072056
113,47,66,8.841531,NA,112.906565106959
156,65,91,NA,NA,NA
198,81,117,8.210166,NA,197.970486260901
251,100,151,7.76859,NA,251.081572997559
138,60,78,8.665661,NA,137.911948650221
160,67,93,8.485877,NA,159.92879244698
118,51,67,8.814963,NA,117.905796406182
243,94,149,7.833648,NA,243.062001301755
192,79,113,8.242036,NA,191.964811557328
110,49,61,8.857464,NA,109.907164153741
133,58,75,8.690771,NA,132.911553676427
94,43,51,8.966583,NA,93.9096560080234
85,39,46,8.98688,NA,84.9164538381072
73,31,42,9.026112,NA,72.9251740287722
192,80,112,8.238051,NA,191.965632947391
132,57,75,8.705721,NA,131.910100154447
99,45,54,NA,NA,NA
267,105,162,7.644361,NA,267.12238140776
179,71,108,8.345428,NA,178.947325847076
81,37,44,9.002871,NA,80.9189948916533
243,97,146,7.829801,NA,243.063004873327
115,49,66,NA,NA,NA
85,36,49,NA,NA,NA
105,44,61,8.889689,NA,104.907751494271
80,35,45,9.018872,NA,79.9186207323848
139,59,80,8.681565,NA,138.908937360251
129,51,78,8.727358,NA,128.909146885443
244,97,147,7.822491,NA,244.065178968843
109,49,60,8.864805,NA,108.907149099268
184,72,112,8.296871,NA,183.955446068922
149,65,84,8.551166,NA,148.923244463737
110,50,60,8.851727,NA,109.907841635217
44,21,23,NA,NA,NA
71,30,41,9.01737,NA,70.9278903848817
141,57,84,8.65954,NA,140.91096102449
133,57,76,8.714109,NA,132.908221444917
43,21,22,8.912907,NA,42.9611502419913
195,77,118,8.233326,NA,194.966085098891
193,80,113,NA,NA,NA
176,71,105,NA,NA,NA
262,103,159,7.681556,NA,262.109627837202
202,82,120,NA,NA,NA
92,39,53,8.993208,NA,91.90894857434
204,84,120,8.1612,NA,203.980315605916
132,58,74,8.696131,NA,131.911459132456
150,65,85,8.545394,NA,149.923658800393
117,48,69,8.80884,NA,116.907363819056
61,29,32,9.087452,NA,60.9334572655166
209,82,127,8.155607,NA,208.981088050699
254,100,154,7.752808,NA,254.086851412573
250,97,153,7.779523,NA,250.078313741119
161,68,93,8.476352,NA,160.929993706493
190,75,115,8.257433,NA,189.962037525482
90,39,51,NA,NA,NA
191,79,112,8.248343,NA,190.96370159952
173,73,100,8.374218,NA,172.943744492237
112,47,65,8.844756,NA,111.90700420029
247,98,149,7.803566,NA,247.070998604676
184,77,107,8.286599,NA,183.957475118806
190,77,113,NA,NA,NA
45,22,23,8.938121,NA,44.9581252011577
167,67,100,8.444304,NA,166.933130401513
264,103,161,NA,NA,NA
134,62,72,NA,NA,NA
239,96,143,7.857143,NA,239.05495242663
197,81,116,8.21519,NA,196.969572803532
88,36,52,8.976918,NA,87.9144462789189
38,16,22,8.778196,NA,37.9711631472968
87,38,49,NA,NA,NA
117,51,66,8.828977,NA,116.904834518018
224,89,135,7.980993,NA,224.021720839657
93,43,50,8.970274,NA,92.9102486063518
85,39,46,NA,NA,NA
150,61,89,8.562014,NA,149.920982454946
92,38,54,8.972067,NA,91.9110365875598
256,100,156,7.737398,NA,256.091770370506
31,14,17,8.811618,NA,30.97536291939
56,25,31,9.087572,NA,55.9389043737989
65,28,37,9.073267,NA,64.9300836420187
195,77,118,NA,NA,NA
176,74,102,8.359055,NA,175.945633917464
117,48,69,NA,NA,NA
116,52,64,8.806414,NA,115.908457693773
141,60,81,8.668476,NA,140.909608384686
161,67,94,8.488737,NA,160.927853075657
210,86,124,8.117032,NA,209.98969407529
198,82,116,8.202893,NA,197.97203222238
238,96,142,7.863764,NA,238.053030811509
83,35,48,9.023243,NA,82.9151795355637
152,66,86,8.53267,NA,151.924717203556
178,73,105,8.355075,NA,177.945776662655
187,78,109,8.267638,NA,186.96058825119
165,66,99,8.456891,NA,164.931701639591
267,104,163,7.647357,NA,267.121522645479
132,53,79,8.72057,NA,131.907995935006
158,68,90,8.484619,NA,157.929895923313
66,32,34,9.004964,NA,65.9338475404082
129,56,73,8.730746,NA,128.908677690846
150,62,88,NA,NA,NA
177,74,103,8.352118,NA,176.94664316932
106,45,61,8.884761,NA,105.907433722159
129,56,73,NA,NA,NA
138,59,79,8.671088,NA,137.911144645131
121,53,68,8.784443,NA,120.907365912046
127,50,77,8.7288,NA,126.910358858437
123,54,69,8.764409,NA,122.908480178149
186,78,108,8.274897,NA,185.95934953787
245,95,150,7.818674,NA,245.066450036635
89,41,48,8.977507,NA,88.9134178012876
195,76,119,NA,NA,NA
117,49,68,8.828849,NA,116.904850595415
186,77,109,NA,NA,NA
177,70,107,8.359401,NA,176.94525927328
198,81,117,NA,NA,NA
196,81,115,8.211618,NA,195.970478857415
83,36,47,NA,NA,NA
18,9,9,8.022789,NA,18.0009377673279
41,18,23,8.877852,NA,40.9645001641089
163,69,94,8.456205,NA,162.93264954006
239,91,148,7.848148,NA,239.057260337109
201,83,118,8.177875,NA,200.97700691137
207,85,122,8.135303,NA,206.985781054857
224,86,138,7.971327,NA,224.024045260171
80,38,42,8.950177,NA,79.9245205013535
181,76,105,8.311935,NA,180.953245383539
205,84,121,8.156737,NA,204.98120131539
149,60,89,8.570529,NA,148.920147195603
202,83,119,8.173966,NA,201.977740207641
249,99,150,7.785464,NA,249.076412382703
147,65,82,8.552634,NA,146.924043072868
87,40,47,8.983373,NA,86.9148155940302
126,56,70,8.727439,NA,125.911248791981
113,49,64,NA,NA,NA
61,27,34,9.102449,NA,60.9324751691216
95,44,51,8.949749,NA,94.9104117456605
238,95,143,7.867882,NA,238.051978648111
208,85,123,8.131376,NA,207.9865892523
133,58,75,NA,NA,NA
75,35,40,8.993181,NA,74.9257754682257
152,63,89,NA,NA,NA
259,101,158,7.70986,NA,259.100502688225
197,78,119,NA,NA,NA
230,88,142,7.921249,NA,230.037054346197
142,57,85,8.634954,NA,141.914077512447
78,33,45,9.004879,NA,77.9218269380798
199,82,117,8.198111,NA,198.972912574869
78,32,46,8.992635,NA,77.922852207051
255,98,157,7.738739,NA,255.091044788722
196,81,115,NA,NA,NA
196,77,119,8.21944,NA,195.968832994069
132,53,79,NA,NA,NA
139,56,83,8.682217,NA,138.908840067096
75,32,43,9.029413,NA,74.9228582194821
120,53,67,8.769577,NA,119.910046599816
266,105,161,NA,NA,NA
256,101,155,7.729062,NA,256.094061330797
137,59,78,8.678459,NA,136.910704430694
87,36,51,8.999022,NA,86.913354003456
164,70,94,8.443419,NA,163.934487465976
163,68,95,8.471168,NA,162.930031199274
77,36,41,8.982618,NA,76.9246693155476
178,70,108,8.35053,NA,177.946645170569
237,95,142,7.87483,NA,237.049992471122
142,62,80,8.627616,NA,141.915196141107
97,41,56,8.953864,NA,96.9080971666519
185,78,107,8.269598,NA,184.960620500129
195,81,114,8.215712,NA,194.969772433026
129,52,77,NA,NA,NA
104,47,57,8.889702,NA,103.908628600037
110,49,61,NA,NA,NA
174,73,101,8.368684,NA,173.944453048684
68,31,37,9.057888,NA,67.9279794155517
85,38,47,NA,NA,NA
190,77,113,NA,NA,NA
162,67,95,8.478371,NA,161.929207752137
204,82,122,NA,NA,NA
89,41,48,NA,NA,NA
103,47,56,8.894541,NA,102.908972098559
249,96,153,7.787191,NA,249.075950734047
183,72,111,8.307885,NA,182.953524415154
229,89,140,7.937048,NA,229.033009188915
117,52,65,8.798652,NA,116.908643479332
240,93,147,7.853348,NA,240.05616013707
182,72,110,NA,NA,NA
212,83,129,8.109617,NA,211.991283513484
116,51,65,8.816483,NA,115.907203789968
148,65,83,8.547949,NA,147.924270733088
270,105,165,NA,NA,NA
